Order,VR quality,Code name
VRQ_3,I should use VCR technology more often for other purposes as well.,0
VRQ_3,Virtual reality is awesome I love this technology,General perceived quality
VRQ_3,this is a new viewing experience of dubai for me,Overall destination preview
VRQ_1,Quality was good,General perceived quality
VRQ_7,I think VR is a great tech,General perceived quality
VRQ_2,The GUI ( Graphical User Interface ) seems very appealing.,Overall user interface satisfaction 
VRQ_2,Sleek,General perceived quality
VRQ_3,Robust,General perceived quality
VRQ_2,Nice,General perceived quality
VRQ_2,Active experience rather than just passive information.,General perceived quality
VRQ_1,Overall the virtual tour worked very well.,General perceived quality
VRQ_1,The technology is great,High-quality technology (overall)
VRQ_2,Accurate,General perceived quality
VRQ_3,Satisfying,General perceived quality
VRQ_3,QUALITY,High-quality technology (overall)
VRQ_3,its impresive,General perceived quality
VRQ_10,everything seemed well maintained,General perceived quality
VRQ_3,everything was well lit,General perceived quality
VRQ_3,Was put together well,General perceived quality
VRQ_1,Great technology,General perceived quality
VRQ_2,The technology is helpful.,General perceived quality
VRQ_2,I love virtual tours like this,General perceived quality
VRQ_4,I would use this technology in more places,General perceived quality
VRQ_2,It worked as described,General perceived quality
VRQ_3,I could see a part of the world I normally would not be able to see,Overall destination preview
VRQ_8,"I wonder if you can ""VR tour"" other places with this website.",Discuss latter
VRQ_6,It can be used to provide valuable medical services such as remote consultations.,Discuss latter
VRQ_1,It's incredibly thorough and comprehensive,Comprehensive design
VRQ_1,So much to see,Variety of places
VRQ_2,Showed different parts,Variety of places
VRQ_3,it was nice to see such a variety of locations,Variety of places
VRQ_5,diverse landscapes shown,Variety of places
VRQ_3,Provided many different types of locations,Variety of places
VRQ_3,showed muplitple places instead of just one,Variety of places
VRQ_2,it showed a wide variety of places,Variety of places
VRQ_3,There were a lot of things to look at within the tour,Variety of places
VRQ_3,There are so many places to check out.,Variety of places
VRQ_3,there were a variety of areas shown in the tour,Variety of places
VRQ_2,there were lots of places to click on,Variety of places
VRQ_1,I could see many places,Variety of places
VRQ_4,It has a lot of the views you would actually want to go to.,Variety of places
VRQ_3,It showed different locations,Variety of places
VRQ_2,It allowed me to travel to many locations.,Variety of places
VRQ_1,I thought it showed some a lot of space,Variety of places
VRQ_2,diverse attractions,Variety of places
VRQ_1,there were alot of options to choose to visit,Variety of places
VRQ_1,It showed a variety of different places,Variety of places
VRQ_2,lots of destinations to look at,Variety of places
VRQ_1,It showed several different destinations in Dubai,Variety of places
VRQ_3,The video shows a variety of locations and places to explore.,Variety of places
VRQ_1,How extensive the scenery was covered,Variety of places
VRQ_2,It showed various aspects I'd the area that I was interested in.,Variety of places
VRQ_3,I liked that I could look at a lot of different things.,Variety of places
VRQ_3,Huge variety of attractions,Variety of places
VRQ_3,There were a lot of areas to explore.,Variety of places
VRQ_3,Lots of information about different attractions and locations in Dubai,Variety of places
VRQ_1,I can view notable and important places,Variety of places
VRQ_4,many attractions to choose from,Variety of places
VRQ_1,A lot of places to look around,Lots to do
VRQ_3,So much to do,Lots to do
VRQ_3,lots to do,Lots to do
VRQ_4,lots to see,Lots to do
VRQ_2,There is a lot to see,Lots to do
VRQ_3,Informative,Informative
VRQ_3,Informational,Informative
VRQ_1,It was informative,Informative
VRQ_1,Very informative,Informative
VRQ_2,informative,Informative
VRQ_2,Informative,Informative
VRQ_3,informational,Informative
VRQ_3,It’s informative,Informative
VRQ_3,Informative,Informative
VRQ_3,it was informational,Informative
VRQ_3,This method of visiting can give you a lot of information,Informative
VRQ_5,Great preview of Dubai,Overall destination preview
VRQ_1,I can get a sense of the landscape.,Overall destination preview
VRQ_2,I can see a full sweep of things.,Overall destination preview
VRQ_2,Like traveling without having to leave my house,Overall destination preview
VRQ_3,It looked like a nice destination,Overall destination preview
VRQ_1,It gave a good view of the landscape and what the city looks like,Overall destination preview
VRQ_3,it helped me get an idea of what the city looks like,Overall destination preview
VRQ_2,get a sense of the scenery from a balcony view,Overall destination preview
VRQ_3,Get a good idea of views,Overall destination preview
VRQ_1,It showed sights,Overall destination preview
VRQ_2,It seems to give a good idea of what it looks like in person,Overall destination preview
VRQ_3,This medium provides an avenue for exploration.,Overall destination preview
VRQ_3,I could get a sense of what the places looked like on the ground,Overall destination preview
VRQ_3,The technology offers a good introduction to the area.,Overall destination preview
VRQ_1,Covers a good amount of Dubai,Overall destination preview
VRQ_1,I was able to view some interesting sites,Overall destination preview
VRQ_1,It's nice to be able to see Dubai,Overall destination preview
VRQ_1,It helped set an idea on what Dubai will look like,Overall destination preview
VRQ_1,I can get a very clear idea of what visiting Dubai would be like,Overall destination preview
VRQ_1,I was able to get a sense of what was around there.,Overall destination preview
VRQ_1,Gives you the feel of the place,Overall destination preview
VRQ_2,you get to see how the place looks like,Overall destination preview
VRQ_2,See a different part of the world,Overall destination preview
VRQ_2,I can see a place that I have never been before,Overall destination preview
VRQ_3,Can see it before you ever get to go to get a feel for it.,Overall destination preview
VRQ_1,You see the landscape that you wouldn't be able too before.,Overall destination preview
VRQ_3,EASY TO FORM AN OPINION OF THE AREA,Overall destination preview
VRQ_3,good idea of how “big” it is,Overall destination preview
VRQ_1,It was enlightening to see what Dubai looks like,Overall destination preview
VRQ_3,it could be helpful for showing people who can’t afford long distance travel different places in the world,Overall destination preview
VRQ_1,Able to see a travel destination,Overall destination preview
DQ_3,it gives you a sense of what the city is like,Overall destination preview
VRQ_2,Helpful,Overall Useful/helpful information
VRQ_3,It was helpful,Overall Useful/helpful information
VRQ_1,It is helpful,Overall Useful/helpful information
VRQ_2,helpful,Overall Useful/helpful information
VRQ_2,useful information,Overall Useful/helpful information
VRQ_1,Quite useful,Overall Useful/helpful information
VRQ_3,useful,Overall Useful/helpful information
VRQ_3,Useful,Overall Useful/helpful information
VRQ_3,Helpful,Overall Useful/helpful information
VRQ_4,This is very useful,Overall Useful/helpful information
VRQ_2,Helpful tool to explore,Overall Useful/helpful information
VRQ_2,Insightful,Overall Useful/helpful information
VRQ_1,very useful,Overall Useful/helpful information
VRQ_3,It was helpful to see the top destinations,To increase the destiantion knowledge
VRQ_2,Helps to understand new area concepts,To increase the destiantion knowledge
VRQ_1,Increase knowledge area.,To increase the destiantion knowledge
VRQ_1,The VR tour gives a good idea of the layout of the city,To increase the destiantion knowledge
VRQ_3,educational,To increase the destiantion knowledge
VRQ_1,helps to see attractions,To increase the destiantion knowledge
VRQ_3,Felt like I was learning,To increase the destiantion knowledge
VRQ_3,"Helps to understand complex concepts, subjects, or theories.",To increase the destiantion knowledge
VRQ_1,Increase knowledge area.,To increase the destiantion knowledge
VRQ_1,It gave me a look into something I didn’t know much about,To increase the destiantion knowledge
VRQ_2,It let me see a lot of a place without going there,To increase the destiantion knowledge
VRQ_3,My view about Dubai has improved after taking the virtual tour.,To increase the destiantion knowledge
VRQ_4,I was able to gain an understanding of the layout.,To increase the destiantion knowledge
VRQ_4,The top over view gave me a better idea of how the environment was and which natural wonders I could potentially visit.,To increase the destiantion knowledge
VRQ_2,I can tell the quality of the beach,To increase the destiantion knowledge
VRQ_3,Able to see that it's a modern city,To increase the destiantion knowledge
VRQ_3,Lots of different locations,To get location and layout information
VRQ_3,list of locations that are useful,To get location and layout information
VRQ_2,The VR tour gives good insight into what there is to explore in Dubai.,To get location and layout information
VRQ_4,See how walkable the location is,To get location and layout information
VRQ_3,I felt I got a good feel of what the locations looked like,To get location and layout information
VRQ_1,It is nice to be able to see the locations as they would appear in real life.,To get location and layout information
VRQ_2,I can get a good sense of where different locations are,To get location and layout information
VRQ_3,Check out a place before you go in real life,To plan the travel
VRQ_1,Good for planning itenerary,To plan the travel
VRQ_1,It really allowed me to explore places that I would have considered if I was there,To plan the travel
VRQ_2,This way can help people decide whether to visit the destination or not.,To plan the travel
VRQ_2,A good way to pick where you want to stay and which attractions will be close,To plan the travel
VRQ_3,It makes for a great guide on what to do if you actually visit Dubai.,To plan the travel
DQ_3,can do a quick tour to find out where you want to take the time to go to when you are actually there,To plan the travel
VRQ_5,It would be easy to reference items you click on and check them against tour books etc. to help plan your trip and specific tourist attractions.,To plan the travel
VRQ_3,I got a sense of how to get around,To plan the travel
VRQ_2,it helps to see where to go,To plan the travel
VRQ_3,It showed me what types of food I will come to expect,To plan the travel
VRQ_3,"I feel like I am actually walking around, which gives me idea of my travel plans",To plan the travel
VRQ_1,Can be helpful for planning trips,To plan the travel
VRQ_3,A definite plus in helping with finding a destination to visit.,To plan the travel
VRQ_2,it could help plan vacations,To plan the travel
VRQ_1,this technology could help people decide whether they want to go to the places shown in VR tours,To plan the travel
VRQ_2,It gave ideas for activities,To know the destination activites
VRQ_2,It showed me what fun things I could do in Dubai,To know the destination activites
VRQ_3,I can look inside various locations to see if they are interesting to visit in person,Inside-building view
VRQ_3,It's a good way to find accomodation.,Hotel plan
VRQ_2,I liked being able to actually go into the hotel lobby and get an idea of where I might stay if traveling there,Hotel plan
VRQ_1,I liked being able to see the unique architecture,Desination architecture
VRQ_2,Able to see architecture in the city,Desination architecture
VRQ_1,Very nice architecture,Desination architecture
VRQ_5,the interface is well designed,Overall user interface satisfaction 
VRQ_1,Easy to use,Easy to use (Overall)
VRQ_4,It's very easy to use,Easy to use (Overall)
VRQ_2,Easy to use interface,Easy to use (Overall)
VRQ_2,easy to use,Easy to use (Overall)
VRQ_5,This is pretty easy to use.,Easy to use (Overall)
VRQ_3,Convenient,Easy to use (Overall)
VRQ_2,It was easy to use,Easy to use (Overall)
VRQ_3,Liked how easy it was for mobile,Easy to use (Overall)
VRQ_2,It is easy,Easy to use (Overall)
VRQ_1,Convinent,Easy to use (Overall)
VRQ_3,Easy,Easy to use (Overall)
VRQ_1,Easy to use,Easy to use (Overall)
VRQ_3,It is very easy to make use of virtual reality to get to know Dubai.,Easy to use (Overall)
VRQ_1,easy to use,Easy to use (Overall)
VRQ_3,Easy to use,Easy to use (Overall)
VRQ_1,easy to use,Easy to use (Overall)
VRQ_3,easy to use,Easy to use (Overall)
VRQ_1,easy to use,Easy to use (Overall)
VRQ_3,Very easy to use,Easy to use (Overall)
VRQ_1,very easy to use,Easy to use (Overall)
VRQ_1,Convenient,Easy to use (Overall)
VRQ_2,The UI is very clean and easy to use,Easy to use (Overall)
VRQ_2,The tour was easy to use and provided good information,Easy to use (Overall)
VRQ_3,Accessible,Easy to use (Overall)
VRQ_6,easy to use,Easy to use (Overall)
VRQ_1,made it easy,Easy to use (Overall)
VRQ_7,"It's easy to use. I knew I could click, but I chose to just key the video play so I could take in the whole scene.",Easy to use (Overall)
VRQ_1,It was easy to use,Easy to use (Overall)
VRQ_1,The GUI is also easy to use.,Easy to use (Overall)
VRQ_1,very easy to use,Easy to use (Overall)
VRQ_2,Easy to use,Easy to use (Overall)
VRQ_2,Easy to use,Easy to use (Overall)
VRQ_2,easy to use,Easy to use (Overall)
VRQ_3,Easy to use,Easy to use (Overall)
VRQ_1,I thought the interface was easy to use.,Easy to use (Overall)
VRQ_1,Ease,Easy to use (Overall)
VRQ_3,Convenient,Easy to use (Overall)
VRQ_2,Easy to use,Easy to use (Overall)
VRQ_3,It was easy to use and intuitive.,Easy to use (Overall)
VRQ_1,easy to use,Easy to use (Overall)
VRQ_3,Simple,Easy to use (Overall)
VRQ_3,ease of use,Easy to use (Overall)
VRQ_1,intuitive,Easy to use (Overall)
VRQ_9,The UI was easy to use generally,Easy to use (Overall)
VRQ_3,easy to use,Easy to use (Overall)
VRQ_2,easy to use,Easy to use (Overall)
VRQ_3,Information Guide,Helful tour guide
VRQ_3,The tour guide was incredibly helpful,Helful tour guide
VRQ_2,helpful vr usage guide,Helful tour guide
VRQ_9,I would like to self-guide the tour,Helful tour guide
VRQ_10,I liked the tutorial int he begining,Helful tour guide
VRQ_6,Quick overview of potential vacation destination,Efficient to learn
VRQ_1,it's convenient to see possible destination choices,Efficient to learn
VRQ_4,Expands learners efficiency to gain knowledge,Efficient to learn
VRQ_3,"It is an efficient way to learn new skills, as students can take online courses and workshops.",Efficient to learn
VRQ_2,Save money,Money wise
VRQ_3,Convenient way to travel,Others-Conceniency
VRQ_3,Sensitivity to directional prompts (accuracy),Sensitivity
VRQ_3,This is smooth and easy to use,Smooth run
VRQ_2,the movement was steady,Smooth run
VRQ_1,the transition was smooth,Smooth run
VRQ_4,"tech was smooth, no glitching or unresponsive links",Smooth run
VRQ_1,it didnt have any distortion or lag,Smooth run
VRQ_1,Smooth,Smooth run
VRQ_2,moves at the right speed,Smooth run
VRQ_1,the VR went at a nice steady pace,Smooth run
VRQ_4,The navigation is smooth and quick,Smooth run
VRQ_3,fast speed/no lagging movement,Smooth run
VRQ_2,It moved in a consitient manner,Smooth run
VRQ_3,The camera movement is just the right pace.,Smooth run
VRQ_3,no lag or glitches,Smooth run
VRQ_2,Everything is very fluid,Smooth run
VRQ_2,It didnt lag,Smooth run
VRQ_1,The technology was easy flowing.,Smooth run
VRQ_1,it seemed to run smoothly,Smooth run
VRQ_2,Smooth pans across screen when moving,Smooth run
VRQ_2,Smooth speed,Smooth run
VRQ_3,No lag,Smooth run
VRQ_1,Moving around was seamless,Smooth run
VRQ_3,Navigation was easy and smooth,Smooth run
VRQ_1,ran smoothly,Smooth run
VRQ_1,predictable movement,Smooth run
VRQ_2,The tour did not move too fast.,Smooth run
VRQ_3,i can zoom out and see everything quickly,Quick reponse
VRQ_6,Zooms in to quickly,Quick response
VRQ_5,able to provide feedback quickly if needed,Quick reponse
VRQ_1,It was quick,Quick reponse
VRQ_3,Fast,Quick response
VRQ_1,Everything moves quickly,Quick response
VRQ_3,I was impressed by the snappy loading times.,Quick response
VRQ_2,The HUD was well done and responsive,Quick reponse
VRQ_2,It's nice to be able to move around quickly,Quick response
VRQ_4,Easy navagation,Easy to move around
VRQ_2,ease of movement,Easy to move around
VRQ_4,the controls were easy to use,Easy to move around
VRQ_2,I'm able to click easily on places I'm interested in.,Easy to move around
VRQ_1,I thought the controls were very intuitive and I was easily able to move around the scene.,Easy to move around
VRQ_2,It was easy to navigate between destinations,Easy to move around
VRQ_1,easy to navigate,Easy to move around
VRQ_2,easy to click icons to go to a new destination,Easy to move around
VRQ_2,Easy to navigate,Easy to move around
VRQ_1,This is very easy to navigate,Easy to move around
VRQ_1,Very easy to spot resorts,Easy to move around
VRQ_3,easy to navigate proccess,Easy to move around
VRQ_1,It is easy to navigate,Easy to move around
VRQ_2,it's so easy to navigate to other areas,Easy to move around
VRQ_2,Easy navigation,Easy to move around
VRQ_4,The website was easy to navigate,Easy to move around
VRQ_3,easy to navigate,Easy to move around
VRQ_4,Easy to move around,Easy to move around
VRQ_1,Easy to Navigage,Easy to move around
VRQ_2,It was easy to select places of interest and navigate to then,Easy to move around
VRQ_2,easy navigation,Easy to move around
VRQ_1,It was easy to navigate,Easy to move around
VRQ_1,easy interface to click and view,Easy to move around
VRQ_4,Liked being able to move around quickly,Easy to move around
VRQ_2,Easy to jump from one location to another,Easy to move around
VRQ_2,easy to jump from spot to spot,Easy to move around
VRQ_1,The video scenes went very slow.,Slow speed
VRQ_4,moved slowly,Slow speed
VRQ_3,nice slow pace,Slow speed
VRQ_2,The slower movement allowed me to really look at things,Slow speed
VRQ_3,It moved slowly so you could view what you wanted to,Slow speed
VRQ_3,Pan was slow to allow for maximum enjoyment,Slow speed
VRQ_3,Very slow and thorough pace,Slow speed
VRQ_3,Easy to understand,Easy to understand
VRQ_2,clear instructions,Easy to understand
VRQ_4,easy to understand with names,Easy to understand
VRQ_3,information and description were easy to access,Easy to understand
VRQ_3,I thought the instructiveness of the site was decent enough.,Easy to understand
VRQ_9,It's simple and easy to understand.,Easy to understand
VRQ_2,Easy to understand,Easy to understand
VRQ_4,the controls were intuitive,Easy to control
VRQ_3,Easy to control,Easy to control
VRQ_2,The controls were easy to use,Easy to control
VRQ_3,The controls were very intuitive.,Easy to control
VRQ_3,Easy interaction,Easy to control
VRQ_4,It seems user friendly,User-friendliness
VRQ_2,Interface was user friendly,User-friendliness
VRQ_3,"I like the flexability of viewpoints, at areas of interest",Flexability 
VRQ_8,It's flexible and adaptable. Everyone will have a different viewing experience that suits their needs.,Flexability 
VRQ_4,many choices,Variety of options
VRQ_4,The site features great interactive tools,Variety of options
VRQ_3,Lots of tools,Variety of tools
VRQ_2,There were many things to click on/look at,Variety of options
VRQ_2,Options for exploration,Variety of options
VRQ_3,I think this looks polished and I like being able to switch between so many different viewpoints. as well as suggested locations,Variety of options
VRQ_1,there are a lot of features to explore in this!,Variety of options
VRQ_4,Able to wander around to a lot of locations within the attractions,Variety of options
VRQ_2,Lots of options to use,Variety of options
VRQ_3,Variety of photos,Variety of photos
VRQ_3,There are a lot of options,Variety of options
VRQ_3,There was a lot of luxury on display,Variety of options
VRQ_2,The number of interaction spots available to explore,Variety of options
VRQ_1,I like the amount of buttons,Variety of options
VRQ_1,Many different options to explore dubai,Variety of options
VRQ_2,I was able to see attraction options to choose from,Variety of options
VRQ_2,It looks like Venice at night,Night view
VRQ_2,I liked seeing the sites at night,Night view
VRQ_2,I liked the highlights spots indicating you could click on them,Tabs to show highlights
VRQ_3,seeing the highlights of this country makes me want to visit there.,Tabs to show highlights
VRQ_3,Different times of day were good too.,Time lapse videos
VRQ_3,pin pointed specific recommended spots,Tabs to show highlights
VRQ_4,Tabs to show specific highlights,Tabs to show highlights
VRQ_3,I enjoy being able to click on popular destinations.,Tabs to show highlights
VRQ_3,Easy to see all the highlights,Tabs to show highlights
VRQ_2,Highlighted important locations,Tabs to show highlights
VRQ_2,Good markers for points of interest,Tabs to show highlights
VRQ_1,Showed highlights,Tabs to show highlights
VRQ_2,I like that the buttons highlighted so many different landmarks,Tabs to show highlights
VRQ_2,I like the floating things to show information,Helpful information tab
VRQ_3,"I like that each scene has an information tab that gives you information about what it is, like the reason why it was built.",Helpful information tab
VRQ_4,i liked the information tab as it gave helpful information,Helpful information tab
VRQ_3,good descriptions,Helpful information tab
VRQ_2,I like that there are information spots,Helpful information tab
VRQ_1,It's cool that I can click on different spots.,Ability to click on destination labels
VRQ_1,I liked the ability to click on icons for more information,Ability to click on destination labels
VRQ_2,It's nice that there are tags/a key marking the area,Ability to click on destination labels
VRQ_3,Being able to click on landmarks and get info,Ability to click on destination labels
VRQ_2,Had a lot of different clickable spots in each destination,Ability to click on destination labels
VRQ_3,Having landmarks noted helped draw the eye,Ability to click on destination labels
VRQ_2,I like all the icons leading to points of interest,Ability to click on destination labels
VRQ_2,dream jump has a video i can click and look at the experience,Ability to click on destination labels
VRQ_5,My favorite and most interesting was being able to click on attractions for greater detail,Ability to click on destination labels
VRQ_1,The icons made it feel like I could select items to find out more information.,Ability to click on destination labels
VRQ_1,I enjoyed how there were tags to mark what type of location the place is and gives you the information.,Ability to click on destination labels
VRQ_5,glad it had clickable icons to see different kinds of places,Ability to click on destination labels
VRQ_3,Helpful labels,Ability to click on destination labels
VRQ_1,The landmarks were well marked,Ability to click on destination labels
VRQ_2,Having icons to click for different attractions made it easy to jump around.,Ability to click on destination labels
VRQ_2,Clear labels for different locations.,Ability to click on destination labels
VRQ_6,The color coding of the various aspects of the tour would make it easy to distinguish things from a distance.,Ability to click on destination labels
VRQ_2,Clicking the attractions and going there was nice.,Ability to click on destination labels
VRQ_3,"The explore button was very handy, making it easier to find locations.",Ability to click on destination labels
VRQ_3,I enjoyed seeing landmarks while im in the air,Ability to click on destination labels
VRQ_2,Lots of information bubbles,Ability to click on destination labels
VRQ_3,A lot of options for places to explore,Ability to click on destination labels
VRQ_2,It’s cool you can click around,Ability to move around
VRQ_4,I like being able to use my mouse and arrow keys.,Ability to move around
VRQ_4,I like being able to click and go straight to a location,Ability to move around
VRQ_2,Better than a picture because it moved around,Ability to move around
VRQ_1,Way points to navigate to,Ability to move around
VRQ_2,I like that you can use the keyboard to look around,Ability to move around
VRQ_3,Freedom of looking around using Virtual Reality,Ability to move around
VRQ_2,The fact I could move the camera around during the timelapse is blowing my mind!,Ability to change the views
VRQ_3,interesting how the camera was moving  on the video,Ability to change the views
VRQ_1,Its really nice being able to move around 360.,Ability to change the views
VRQ_1,I could see how it could feel like I could control my tour,Ability to control
VRQ_3,It seems to offer many controls and possibilities to look at Dubai as compared to just looking at photos online before traveling,Ability to control
VRQ_2,I can choose what I want to see,Ability to control
VRQ_2,The actual the recordings of events you could do like skydiving.,Ability to watch videos
VRQ_6,"Awesome, you can watch clips!",Ability to watch videos
VRQ_1,I liked the time lapse video of the city showing it at different times of the day,Ability to watch videos
VRQ_3,"I loved how deep it was, particularly with the time lapse videos",Ability to watch videos
VRQ_1,i liked time lapse,Ability to watch videos
VRQ_1,I liked being able to search for specific destinations,Ability to search
VRQ_1,I appreciated the search feature.,Ability to search
VRQ_1,I thought the different viewing options where amazing!!,Variety of views
VRQ_2,I like that one feature where you're above the city and it shows a day to night cycle.,Variety of views
VRQ_3,It showed the beauty of Dubai in both the daytime and nighttime.,Variety of views
VRQ_3,day/night view,Variety of views
VRQ_2,I like the variety of views available,Variety of views
VRQ_3,Good variety of views,Variety of views
VRQ_3,I can see things from a different perspective than I could in person,Variety of views
VRQ_2,I like the different view options. The little planet view was very interesting.,Variety of views
VRQ_3,i liked how you can go inside and outside,Variety of views
VRQ_3,Scenic from every location,Variety of views
VRQ_3,A lot of options for different viewing modes,Variety of views
VRQ_2,The video showed both indoor and outdoor views.,Variety of views
VRQ_2,Different views were helpful.,Variety of views
VRQ_2,Great variety of views,Variety of views
VRQ_3,Liked being able to see interior and outer spots,Variety of views
VRQ_2,I liked how the camera would move and show all angles,Variety of views
VRQ_1,There were a lot of options to look at,Variety of views
VRQ_2,there were a wide variety of shots,Variety of views
VRQ_2,It gave a full view of each place,Variety of views
VRQ_2,It was better than viewing still pictures,Variety of views
VRQ_1,Sneak peak of mutiple vistas!,Variety of views
VRQ_1,Nice camera levels,Variety of views
VRQ_3,Good view points,Variety of views
VRQ_3,A variety of scenes were presented,Variety of views
VRQ_2,I liked being able to shift the perspective.,Variety of views
VRQ_1,I liked that it showed different attraction points.,Variety of views
VRQ_1,"It's nice to be able to see a wide, full shot of a location",Variety of views
VRQ_2,it gives you different perspectives of each spot,Variety of views
VRQ_1,Some places had videos to play,Video feature
VRQ_2,HOLLISTIC VIEW OF THE TOWN,Variety of views
VRQ_4,"Various types of media (still pictures, time lapse, etc)",Variety of views
VRQ_1,Liked the videos in 360,360-degree view
VRQ_2,I liked the ability to rotate 360 degrees in all images,360 degree view
VRQ_1,I liked the panoramic panning,360-degree view
VRQ_1,360 degree view,360 degree view
VRQ_3,See a 360 view,360 degree view
VRQ_2,I like that there is a 360 view of everything,360-degree view
VRQ_1,Good features (360 view),360-degree view
VRQ_4,really enjoyed the tour mode option,Tour mode option
VRQ_3,Enjoyed how there was automatic tours,Tour mode option
VRQ_4,The zoom feature worked well to examine areas of interest more in detail,Zoom function
VRQ_3,I wanted to zoom in a lot.,Zoom function
VRQ_2,You could click and zoom in on items you wanted more information on.,Zoom function
VRQ_2,Zoom function was helpful to read signs,Zoom function
VRQ_3,Amazing views,High quality view (Overall)
VRQ_1,The view was amazing,High quality view (Overall)
VRQ_3,it was shot from great angles,High quality view (Overall)
VRQ_2,It provide a great visual view of the city itself,High quality view (Overall)
VRQ_1,View was good,High quality view (Overall)
VRQ_1,It showed the sights nicely,High quality view (Overall)
VRQ_1,the angles were nice,High quality view (Overall)
VRQ_2,good views,High quality view (Overall)
VRQ_2,have a good view,High quality view (Overall)
VRQ_3,I liked the ability to see birds eye viewpoints,Birds-eye viewpoints
VRQ_1,Interesting location photos,Other function availability
VRQ_3,i like the ability to look at english translations,Other function availability-English translation
VRQ_3,it seemed 3 dimensional instead of just looking at an image on the screen,Other function availability-3D inforamtion
VRQ_2,There was interesting information available,Other function availability
VRQ_3,I liked that you can see what it looks like in that city at current times.,Other function availability-Real-time view
VRQ_4,All buttons seem to work as intended.,Accurate functions
VRQ_3,I can see clear labels delineating the type of establishment I am viewing.,Accurate functions
VRQ_1,I like that it's like a full panoramic view.,Panoramic viewpoints
VRQ_2,I like the zoom feature and the panoramic view of the city,Panoramic viewpoints
VRQ_2,Panoramic viewpoints,Panoramic viewpoints
VRQ_2,Extensive views of the areas,Panoramic viewpoints
VRQ_6,everything looked spacious,Panoramic viewpoints
VRQ_1,It was cool seeing the view from the top of the buildings,Aerial viewpoints
VRQ_2,The view afforded by drones was impressive.,Aerial viewpoints
VRQ_3,Watching timelapses from rooftops,Aerial viewpoints
VRQ_2,Aerial shots are nice,Aerial viewpoints
VRQ_3,the aerial view of the city was breathtaking,Aerial viewpoints
VRQ_1,The fly over gave the scale and breath of the city,Aerial viewpoints
VRQ_2,Enjoyed areal views especially,Aerial viewpoints
VRQ_2,I liked the aerial views,Aerial viewpoints
VRQ_2,Loved the head level photos,Aerial viewpoints
VRQ_4,The hub mode to easily go back to the helicopter view was nice.,Aerial viewpoints
VRQ_2,Liked being able to see sky views,Aerial viewpoints
VRQ_1,I liked how you can view the hotel view from high up in the air.,Aerial viewpoints
VRQ_3,The Atlantis Hotel with all of the rooms and private viewing of the rooms or building.,Inside-building viewpoints
VRQ_2,"I found the interiors interesting, it was fun to see inside buildings I'll never visit",Inside-building viewpoints
VRQ_2,inside view,Inside-building viewpoints
VRQ_2,Inside of the mall your cool,Inside-building viewpoints
VRQ_3,The inside of the building showed amazing architecture.,Inside-building viewpoints
VRQ_1,I really like how they show they inside lobbies of hotels and other buildings,Inside-building viewpoints
