 No.,Order,VR quality,Code 2,Code 3,Code name,Comment,
251,VRQ_3,useful,1.3,1.3.2,Overall Useful/helpful information,,
268,VRQ_3,Useful,1.3,1.3.2,Overall Useful/helpful information,,
274,VRQ_3,Helpful,1.3,1.3.2,Overall Useful/helpful information,,
294,VRQ_4,This is very useful,1.3,1.3.2,Overall Useful/helpful information,,
316,VRQ_2,Helpful tool to explore,1.3,1.3.2,Overall Useful/helpful information,,
342,VRQ_2,Insightful,1.3,1.3.2,Overall Useful/helpful information,,
364,VRQ_1,very useful,1.3,1.3.2,Overall Useful/helpful information,,
69,VRQ_3,It was helpful to see the top destinations,Same information,1.3.3,To increase the destiantion knowledge,?,
89,VRQ_2,Helps to understand new area concepts,1.3,1.3.3,To increase the destiantion knowledge,,
89,VRQ_1,Increase knowledge area.,1.3,1.3.3,To increase the destiantion knowledge,,
114,VRQ_1,The VR tour gives a good idea of the layout of the city,1.3,1.3.3,To increase the destiantion knowledge,,
126,VRQ_3,educational,1.3,1.3.3,To increase the destiantion knowledge,,
212,VRQ_1,helps to see attractions,1.3,1.3.3,To increase the destiantion knowledge,,
229,VRQ_3,Felt like I was learning,1.3,1.3.3,To increase the destiantion knowledge,,
242,VRQ_3,"Helps to understand complex concepts, subjects, or theories.",1.3,1.3.3,To increase the destiantion knowledge,,
242,VRQ_1,Increase knowledge area.,1.3,1.3.3,To increase the destiantion knowledge,,
261,VRQ_1,It gave me a look into something I didn’t know much about,1.3,1.3.3,To increase the destiantion knowledge,,
261,VRQ_2,It let me see a lot of a place without going there,1.3,1.3.3,To increase the destiantion knowledge,,
266,VRQ_3,My view about Dubai has improved after taking the virtual tour.,1.3,1.3.3,To increase the destiantion knowledge,,
288,VRQ_4,I was able to gain an understanding of the layout.,1.3,1.3.3,To increase the destiantion knowledge,,
289,VRQ_4,The top over view gave me a better idea of how the environment was and which natural wonders I could potentially visit.,1.3,1.3.3,To increase the destiantion knowledge,,
295,VRQ_2,I can tell the quality of the beach,1.3,1.3.3,To increase the destiantion knowledge,,
384,VRQ_3,Able to see that it's a modern city,1.3,1.3.3,To increase the destiantion knowledge,,
105,VRQ_3,Lots of different locations,1.3,1.3.4,To get location and layout information,,
113,VRQ_3,list of locations that are useful,1.3,1.3.4,To get location and layout information,,
114,VRQ_2,The VR tour gives good insight into what there is to explore in Dubai.,1.3,1.3.4,To get location and layout information,,
115,VRQ_4,See how walkable the location is,1.3,1.3.4,To get location and layout information,,
167,VRQ_3,I felt I got a good feel of what the locations looked like,1.3,1.3.4,To get location and layout information,,
257,VRQ_1,It is nice to be able to see the locations as they would appear in real life.,2.5,1.3.4,To get location and layout information,,
279,VRQ_2,I can get a good sense of where different locations are,1.3,1.3.4,To get location and layout information,,
23,VRQ_3,Check out a place before you go in real life,1.3,1.3.5,To plan the travel,,
41,VRQ_1,Good for planning itenerary,1.3,1.3.5,To plan the travel,,
73,VRQ_1,It really allowed me to explore places that I would have considered if I was there,1.3,1.3.5,To plan the travel,,
78,VRQ_2,This way can help people decide whether to visit the destination or not.,1.3,1.3.5,To plan the travel,,
115,VRQ_2,A good way to pick where you want to stay and which attractions will be close,1.3,1.3.5,To plan the travel,,
128,VRQ_3,It makes for a great guide on what to do if you actually visit Dubai.,1.3,1.3.5,To plan the travel,,
168,DQ_3,can do a quick tour to find out where you want to take the time to go to when you are actually there,1.3,1.3.5,To plan the travel,,
189,VRQ_5,It would be easy to reference items you click on and check them against tour books etc. to help plan your trip and specific tourist attractions.,1.3,1.3.5,To plan the travel,,
205,VRQ_3,I got a sense of how to get around,1.3,1.3.5,To plan the travel,,
212,VRQ_2,it helps to see where to go,1.3,1.3.5,To plan the travel,,
277,VRQ_3,It showed me what types of food I will come to expect,1.3,1.3.5,To plan the travel,,
295,VRQ_3,"I feel like I am actually walking around, which gives me idea of my travel plans",1.3,1.3.5,To plan the travel,,
327,VRQ_1,Can be helpful for planning trips,1.3,1.3.5,To plan the travel,,
345,VRQ_3,A definite plus in helping with finding a destination to visit.,1.3,1.3.5,To plan the travel,,
364,VRQ_2,it could help plan vacations,1.3,1.3.5,To plan the travel,,
383,VRQ_1,this technology could help people decide whether they want to go to the places shown in VR tours,1.3,1.3.5,To plan the travel,,
159,VRQ_2,It gave ideas for activities,1.3,1.3.6,To know the destination activites,,
277,VRQ_2,It showed me what fun things I could do in Dubai,1.3,1.3.6,To know the destination activites,,
279,VRQ_3,I can look inside various locations to see if they are interesting to visit in person,1.7,1.3.6,Inside-building view,,
114,VRQ_3,It's a good way to find accomodation.,1.3,1.3.7,Hotel plan,,
147,VRQ_2,I liked being able to actually go into the hotel lobby and get an idea of where I might stay if traveling there,1.3,1.3.7,Hotel plan,,
9,VRQ_1,I liked being able to see the unique architecture,1.3,1.3.8,Desination architecture,?,
384,VRQ_2,Able to see architecture in the city,1.3,1.3.8,Desination architecture,?,
59,VRQ_1,Very nice architecture,Destination quality,1.3.8,Desination architecture,?,
19,VRQ_5,the interface is well designed,1.5,1.3.9,Overall user interface satisfaction ,,
7,VRQ_1,Easy to use,1.4,1.4.1,Easy to use (Overall),,
22,VRQ_4,It's very easy to use,1.4,1.4.1,Easy to use (Overall),,
24,VRQ_2,Easy to use interface,1.4,1.4.1,Easy to use (Overall),,
27,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
31,VRQ_5,This is pretty easy to use.,1.4,1.4.1,Easy to use (Overall),,
39,VRQ_3,Convenient,1.4,1.4.1,Easy to use (Overall),,
42,VRQ_2,It was easy to use,1.4,1.4.1,Easy to use (Overall),,
48,VRQ_3,Liked how easy it was for mobile,1.4,1.4.1,Easy to use (Overall),,
52,VRQ_2,It is easy,1.4,1.4.1,Easy to use (Overall),,
56,VRQ_1,Convinent,1.4,1.4.1,Easy to use (Overall),,
56,VRQ_3,Easy,1.4,1.4.1,Easy to use (Overall),,
66,VRQ_1,Easy to use,1.4,1.4.1,Easy to use (Overall),,
71,VRQ_3,It is very easy to make use of virtual reality to get to know Dubai.,1.4,1.4.1,Easy to use (Overall),,
80,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
89,VRQ_3,Easy to use,1.4,1.4.1,Easy to use (Overall),,
92,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
108,VRQ_3,easy to use,1.4,1.4.1,Easy to use (Overall),,
116,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
117,VRQ_3,Very easy to use,1.4,1.4.1,Easy to use (Overall),,
125,VRQ_1,very easy to use,1.4,1.4.1,Easy to use (Overall),,
130,VRQ_1,Convenient,1.4,1.4.1,Easy to use (Overall),,
148,VRQ_2,The UI is very clean and easy to use,1.4,1.4.1,Easy to use (Overall),,
163,VRQ_2,The tour was easy to use and provided good information,1.4,1.4.1,Easy to use (Overall),,
165,VRQ_3,Accessible,1.4,1.4.1,Easy to use (Overall),,
175,VRQ_6,easy to use,1.4,1.4.1,Easy to use (Overall),,
187,VRQ_1,made it easy,1.4,1.4.1,Easy to use (Overall),,
189,VRQ_7,"It's easy to use. I knew I could click, but I chose to just key the video play so I could take in the whole scene.",1.4,1.4.1,Easy to use (Overall),,
229,VRQ_1,It was easy to use,1.4,1.4.1,Easy to use (Overall),,
233,VRQ_1,The GUI is also easy to use.,1.4,1.4.1,Easy to use (Overall),,
237,VRQ_1,very easy to use,1.4,1.4.1,Easy to use (Overall),,
253,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
274,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
278,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
283,VRQ_3,Easy to use,1.4,1.4.1,Easy to use (Overall),,
321,VRQ_1,I thought the interface was easy to use.,1.4,1.4.1,Easy to use (Overall),,
326,VRQ_1,Ease,1.4,1.4.1,Easy to use (Overall),,
327,VRQ_3,Convenient,1.4,1.4.1,Easy to use (Overall),,
332,VRQ_2,Easy to use,1.4,1.4.1,Easy to use (Overall),,
333,VRQ_3,It was easy to use and intuitive.,1.4,1.4.1,Easy to use (Overall),,
336,VRQ_1,easy to use,1.4,1.4.1,Easy to use (Overall),,
342,VRQ_3,Simple,1.4,1.4.1,Easy to use (Overall),,
351,VRQ_3,ease of use,1.4,1.4.1,Easy to use (Overall),,
355,VRQ_1,intuitive,1.4,1.4.1,Easy to use (Overall),,
363,VRQ_9,The UI was easy to use generally,1.4,1.4.1,Easy to use (Overall),,
364,VRQ_3,easy to use,1.4,1.4.1,Easy to use (Overall),,
366,VRQ_2,easy to use,1.4,1.4.1,Easy to use (Overall),,
130,VRQ_3,Information Guide,1.3,1.4.10,Helful tour guide,,
173,VRQ_3,The tour guide was incredibly helpful,1.3,1.4.10,Helful tour guide,,
221,VRQ_2,helpful vr usage guide,1.5,1.4.10,Helful tour guide,,
231,VRQ_9,I would like to self-guide the tour,Negative,1.4.10,Helful tour guide,,
363,VRQ_10,I liked the tutorial int he begining,1.5,1.4.10,Helful tour guide,,
7,VRQ_6,Quick overview of potential vacation destination,2.3/1.3,1.4.11,Efficient to learn,,
81,VRQ_1,it's convenient to see possible destination choices,1.5,1.4.11,Efficient to learn,,
89,VRQ_4,Expands learners efficiency to gain knowledge,1.4,1.4.11,Efficient to learn,,
182,VRQ_3,"It is an efficient way to learn new skills, as students can take online courses and workshops.",1.4,1.4.11,Efficient to learn,,
23,VRQ_2,Save money,1.6,1.4.12,Money wise,,
43,VRQ_3,Convenient way to travel,1.4,1.4.12,Others-Conceniency,,
291,VRQ_3,Sensitivity to directional prompts (accuracy),1.4,1.4.12,Sensitivity,,
249,VRQ_3,This is smooth and easy to use,1.4,1.4.2,Smooth run,easy to use,
16,VRQ_2,the movement was steady,1.4,1.4.2,Smooth run,,
16,VRQ_1,the transition was smooth,1.4,1.4.2,Smooth run,,
41,VRQ_4,"tech was smooth, no glitching or unresponsive links",1.4,1.4.2,Smooth run,,
57,VRQ_1,it didnt have any distortion or lag,1.4,1.4.2,Smooth run,,
60,VRQ_1,Smooth,1.4,1.4.2,Smooth run,,
75,VRQ_2,moves at the right speed,1.4,1.4.2,Smooth run,,
77,VRQ_1,the VR went at a nice steady pace,1.4,1.4.2,Smooth run,,
106,VRQ_4,The navigation is smooth and quick,1.4,1.4.2,Smooth run,,
116,VRQ_3,fast speed/no lagging movement,1.4,1.4.2,Smooth run,,
118,VRQ_2,It moved in a consitient manner,1.4,1.4.2,Smooth run,,
129,VRQ_3,The camera movement is just the right pace.,1.4,1.4.2,Smooth run,,
221,VRQ_3,no lag or glitches,1.4,1.4.2,Smooth run,,
227,VRQ_2,Everything is very fluid,1.4,1.4.2,Smooth run,,
243,VRQ_2,It didnt lag,1.4,1.4.2,Smooth run,,
265,VRQ_1,The technology was easy flowing.,1.4,1.4.2,Smooth run,,
271,VRQ_1,it seemed to run smoothly,1.4,1.4.2,Smooth run,,
291,VRQ_2,Smooth pans across screen when moving,1.4,1.4.2,Smooth run,,
319,VRQ_2,Smooth speed,1.4,1.4.2,Smooth run,,
322,VRQ_3,No lag,1.4,1.4.2,Smooth run,,
337,VRQ_1,Moving around was seamless,1.4,1.4.2,Smooth run,,
347,VRQ_3,Navigation was easy and smooth,1.4,1.4.2,Smooth run,,
351,VRQ_1,ran smoothly,1.4,1.4.2,Smooth run,,
386,VRQ_1,predictable movement,1.4,1.4.2,Smooth run,,
388,VRQ_2,The tour did not move too fast.,1.4,1.4.2,Smooth run,,
155,VRQ_3,i can zoom out and see everything quickly,1.4,1.4.3,Quick reponse,Zoom function,
354,VRQ_6,Zooms in to quickly,Negative,1.4.3,Quick response,Zoom function,
41,VRQ_5,able to provide feedback quickly if needed,1.4,1.4.3,Quick reponse,,
245,VRQ_1,It was quick,1.4,1.4.3,Quick reponse,,
285,VRQ_3,Fast,1.4,1.4.3,Quick response,,
294,VRQ_1,Everything moves quickly,1.4,1.4.3,Quick response,,
331,VRQ_3,I was impressed by the snappy loading times.,1.4,1.4.3,Quick response,,
352,VRQ_2,The HUD was well done and responsive,1.4,1.4.3,Quick reponse,,
368,VRQ_2,It's nice to be able to move around quickly,1.4,1.4.3,Quick response,,
7,VRQ_4,Easy navagation,1.4,1.4.4,Easy to move around,,
12,VRQ_2,ease of movement,1.4,1.4.4,Easy to move around,,
19,VRQ_4,the controls were easy to use,1.4,1.4.4,Easy to move around,,
31,VRQ_2,I'm able to click easily on places I'm interested in.,1.4,1.4.4,Easy to move around,,
50,VRQ_1,I thought the controls were very intuitive and I was easily able to move around the scene.,1.4,1.4.4,Easy to move around,,
70,VRQ_2,It was easy to navigate between destinations,1.4,1.4.4,Easy to move around,,
77,VRQ_1,easy to navigate,1.4,1.4.4,Easy to move around,,
96,VRQ_2,easy to click icons to go to a new destination,1.4,1.4.4,Easy to move around,,
105,VRQ_2,Easy to navigate,1.4,1.4.4,Easy to move around,,
106,VRQ_1,This is very easy to navigate,1.4,1.4.4,Easy to move around,,
115,VRQ_1,Very easy to spot resorts,1.4,1.4.4,Easy to move around,,
142,VRQ_3,easy to navigate proccess,1.4,1.4.4,Easy to move around,,
145,VRQ_1,It is easy to navigate,1.4,1.4.4,Easy to move around,,
155,VRQ_2,it's so easy to navigate to other areas,1.4,1.4.4,Easy to move around,,
165,VRQ_2,Easy navigation,1.4,1.4.4,Easy to move around,,
173,VRQ_4,The website was easy to navigate,1.4,1.4.4,Easy to move around,,
176,VRQ_3,easy to navigate,1.4,1.4.4,Easy to move around,,
178,VRQ_4,Easy to move around,1.4,1.4.4,Easy to move around,,
193,VRQ_1,Easy to Navigage,1.4,1.4.4,Easy to move around,,
195,VRQ_2,It was easy to select places of interest and navigate to then,1.4,1.4.4,Easy to move around,,
202,VRQ_2,easy navigation,1.4,1.4.4,Easy to move around,,
205,VRQ_1,It was easy to navigate,1.4,1.4.4,Easy to move around,,
221,VRQ_1,easy interface to click and view,1.4,1.4.4,Easy to move around,,
328,VRQ_4,Liked being able to move around quickly,1.4,1.4.4,Easy to move around,,
371,VRQ_2,Easy to jump from one location to another,1.4,1.4.4,Easy to move around,,
375,VRQ_2,easy to jump from spot to spot,1.4,1.4.4,Easy to move around,,
153,VRQ_1,The video scenes went very slow.,Negative,1.4.5,Slow speed,?,
137,VRQ_4,moved slowly,Unclear,1.4.5,Slow speed,?,
33,VRQ_3,nice slow pace,1.4,1.4.5,Slow speed,,
72,VRQ_2,The slower movement allowed me to really look at things,1.4,1.4.5,Slow speed,,
118,VRQ_3,It moved slowly so you could view what you wanted to,1.4,1.4.5,Slow speed,,
219,VRQ_3,Pan was slow to allow for maximum enjoyment,1.4,1.4.5,Slow speed,,
358,VRQ_3,Very slow and thorough pace,1.4,1.4.5,Slow speed,,
61,VRQ_3,Easy to understand,1.4,1.4.6,Easy to understand,,
80,VRQ_2,clear instructions,1.4,1.4.6,Easy to understand,,
80,VRQ_4,easy to understand with names,1.4,1.4.6,Easy to understand,,
96,VRQ_3,information and description were easy to access,1.4,1.4.6,Easy to understand,,
111,VRQ_3,I thought the instructiveness of the site was decent enough.,1.4,1.4.6,Easy to understand,,
189,VRQ_9,It's simple and easy to understand.,1.4,1.4.6,Easy to understand,,
283,VRQ_2,Easy to understand,1.4,1.4.6,Easy to understand,,
6,VRQ_4,the controls were intuitive,1.4,1.4.7,Easy to control,,
178,VRQ_3,Easy to control,1.4,1.4.7,Easy to control,,
254,VRQ_2,The controls were easy to use,1.4,1.4.7,Easy to control,,
265,VRQ_3,The controls were very intuitive.,1.4,1.4.7,Easy to control,,
312,VRQ_3,Easy interaction,1.4,1.4.7,Easy to control,,
54,VRQ_4,It seems user friendly,1.4,1.4.8,User-friendliness,,
