Unique Word,Comments
attractions,I enjoyed seeing landmarks while im in the air
attractions,A lot of options for places to explore
attractions,It’s cool you can click around
attractions,I like being able to use my mouse and arrow keys.
attractions,I like being able to click and go straight to a location
attractions,Better than a picture because it moved around
attractions,Way points to navigate to
attractions,I like that you can use the keyboard to look around
attractions,Freedom of looking around using Virtual Reality
attractions,The fact I could move the camera around during the timelapse is blowing my mind!
attractions,Its really nice being able to move around 360.
attractions,I could see how it could feel like I could control my tour
attractions,It seems to offer many controls and possibilities to look at Dubai as compared to just looking at photos online before traveling
attractions,I can choose what I want to see
attractions,The actual the recordings of events you could do like skydiving.
attractions,"Awesome, you can watch clips!"
attractions,"I loved how deep it was, particularly with the time lapse videos"
attractions,i liked time lapse
attractions,I liked being able to search for specific destinations
attractions,I appreciated the search feature.
attractions,I like that one feature where you're above the city and it shows a day to night cycle.
attractions,It showed the beauty of Dubai in both the daytime and nighttime.
attractions,day/night view
attractions,I like the variety of views available
attractions,Good variety of views
attractions,i liked how you can go inside and outside
attractions,Scenic from every location
attractions,The video showed both indoor and outdoor views.
attractions,Great variety of views
attractions,Liked being able to see interior and outer spots
attractions,I liked how the camera would move and show all angles
attractions,There were a lot of options to look at
attractions,there were a wide variety of shots
attractions,It gave a full view of each place
attractions,It was better than viewing still pictures
attractions,Sneak peak of mutiple vistas!
attractions,Nice camera levels
attractions,Good view points
attractions,A variety of scenes were presented
attractions,I liked being able to shift the perspective.
attractions,"It's nice to be able to see a wide, full shot of a location"
attractions,Some places had videos to play
attractions,HOLLISTIC VIEW OF THE TOWN
attractions,"Various types of media (still pictures, time lapse, etc)"
attractions,Liked the videos in 360
attractions,I liked the ability to rotate 360 degrees in all images
attractions,I liked the panoramic panning
attractions,360 degree view
attractions,See a 360 view
attractions,I like that there is a 360 view of everything
attractions,Good features (360 view)
attractions,really enjoyed the tour mode option
attractions,Enjoyed how there was automatic tours
attractions,The zoom feature worked well to examine areas of interest more in detail
attractions,I wanted to zoom in a lot.
attractions,Zoom function was helpful to read signs
attractions,Amazing views
attractions,The view was amazing
attractions,it was shot from great angles
attractions,It provide a great visual view of the city itself
attractions,View was good
attractions,It showed the sights nicely
attractions,the angles were nice
attractions,good views
attractions,have a good view
attractions,I liked the ability to see birds eye viewpoints
attractions,i like the ability to look at english translations
attractions,it seemed 3 dimensional instead of just looking at an image on the screen
attractions,I liked that you can see what it looks like in that city at current times.
attractions,All buttons seem to work as intended.
attractions,I can see clear labels delineating the type of establishment I am viewing.
attractions,I like that it's like a full panoramic view.
attractions,I like the zoom feature and the panoramic view of the city
attractions,Panoramic viewpoints
attractions,Extensive views of the areas
attractions,everything looked spacious
attractions,The view afforded by drones was impressive.
attractions,Watching timelapses from rooftops
attractions,Aerial shots are nice
attractions,the aerial view of the city was breathtaking
attractions,The fly over gave the scale and breath of the city
attractions,Enjoyed areal views especially
attractions,I liked the aerial views
attractions,Loved the head level photos
attractions,The hub mode to easily go back to the helicopter view was nice.
attractions,Liked being able to see sky views
attractions,I liked how you can view the hotel view from high up in the air.
attractions,The Atlantis Hotel with all of the rooms and private viewing of the rooms or building.
attractions,inside view
attractions,Inside of the mall your cool
attractions,The inside of the building showed amazing architecture.
attractions,Street view allowed a good look into what the society looks like if I were to visit
attractions,It gave me street views of the location.
attractions,new
attractions,Up to date
attractions,new to me
attractions,everything looked up to date
attractions,everything looked very new
attractions,new
attractions,Futuristic
attractions,Comprehensive
attractions,Comprehensive
attractions,It played fully.
attractions,I enjoyed how professional the tour was and how well it was set up
attractions,The scenes were amazingly put together
attractions,The site looks polished and finished.
attractions,I thought they picked really good places to show
attractions,Selected images were nice
attractions,The pictures they picked for the venues were nice
attractions,Captures the beauty of Dubai
attractions,good colors
attractions,The colors were vibrant.
attractions,Colorful
attractions,Colorful
attractions,The colors were vibrant and clear. Good cameras.
attractions,Love the pop of color
attractions,colorful pictures
attractions,It had some colorful images of the waterfront hotel
attractions,I loved that the colors were nice and bright
attractions,Colorful
attractions,The gigapixels from the Burj Khalifa were incredible. The detail on the whole panorama was amazing!
attractions,Very detailed
attractions,The ability to see things in detail that I will never see in person
attractions,lots of detail
attractions,I love the attention to detail
attractions,it is really detailed
attractions,The images were very detailed
attractions,Very detailed 360 degree photos
attractions,The VR was highly detailed
attractions,Really detailed
attractions,detailed description
attractions,you got to see a lot of things in detail
attractions,I was not expecting such detail and so many options
attractions,This is very detailed.
attractions,Very detailed imagery
attractions,Very detailed
attractions,Detailed
attractions,Very detailed
attractions,very detailed
attractions,ultra vivid images
attractions,Vivid
attractions,bright
attractions,bright
attractions,Lots of sunlight
attractions,I liked the lighting.
attractions,It gave great visuals
attractions,Allows me to see the beauty
attractions,Visually compelling
attractions,get a real good visual
attractions,looks very pretty
attractions,It was visually appealing.
attractions,Great visual perspectives
attractions,Glamorous
attractions,pretty visuals
attractions,It looks so good.
attractions,it looks stunning
attractions,Pretty
attractions,Breathtaking
attractions,pretty
attractions,visually pleasing
attractions,Good looking
attractions,Great view
attractions,Beauty
attractions,the visuals were very attractive
attractions,It was pretty
attractions,it was very pretty
attractions,Attractive
attractions,wow this is pretty
attractions,Scenic
attractions,It’s very pretty
attractions,Pretty
attractions,Visually appealing
attractions,the ocean
attractions,The water was stunning
attractions,pretty ocean view
attractions,Nice viewpoints of some desirable areas
attractions,stunning views
attractions,Stunning views... I wish I could virtually travel all over the world
attractions,The tour view was nice to just sit back and watch
attractions,Some of the scenes it showed were very pretty.
attractions,showed beauty of Dubai
attractions,the images were high quality
attractions,Good quality of photos
attractions,Nice photography
attractions,The graphics are phenomenal
attractions,The pictures were high quality
attractions,picture looked really great
attractions,High-quality graphics
attractions,Nice images
attractions,Good quality video.
attractions,I loved the high quality photography
attractions,High res images
attractions,good quality image
attractions,good graphics
attractions,Good photos
attractions,the video was high quality
attractions,high quality photos
attractions,the photos were of high quality
attractions,There were quite hi-res photos taken of various places
attractions,Excellent Images
attractions,The shots used were nice
attractions,high quality video
attractions,The images were really high quality even when zoomed in
attractions,High quality visuals
attractions,The images are so crisp and seamless.
attractions,Quality of pictures is great as well!
attractions,great quality photos
attractions,High quality graphics
attractions,High Quality Graphics
attractions,Good graphics
attractions,Good video quality
attractions,The quality of the images was high.
attractions,Some of the images were nice looking
attractions,I also enjoyed the picture quality.
attractions,The quality of images was really good
attractions,Quality of images was excellent
attractions,high-quality images
attractions,The video quality was very good.
attractions,The high resolution images were impressive
attractions,good resolution
attractions,Very high resolution
attractions,Good resolution.
attractions,Crisp resolution
attractions,It was high resolution
attractions,great quality vr graphics
attractions,nice resolution
attractions,Very high def
attractions,The images were clear
attractions,clear photos
attractions,the pictures where clear
attractions,It was very clear video
attractions,Very clear images
attractions,The images are crystal clear.
attractions,clear images
attractions,clear views
attractions,The image quality is really clear
attractions,it was clear and concise
attractions,The picture was crisp.
attractions,video was clear
attractions,clear views
attractions,Clear
attractions,clear image
attractions,The video is clear.
attractions,Clear
attractions,clear picture
attractions,Clear image
attractions,I thought that the images were very sharp and clear
attractions,Clear
attractions,Images are very clear
attractions,Clear images
attractions,clear picture
attractions,Very clear picture
attractions,Clear images
attractions,I enjoyed how clear the images were.
attractions,The video quality is high and the image is clear.
attractions,the picture was very clear and lifelike
attractions,the images were clear
attractions,very clear
attractions,Clear images
attractions,"Clarity in the picture, even when zooming"
attractions,Video images were clear
attractions,I can see the place clearly
attractions,The views are very clear
attractions,Clarity
attractions,Video clarity was very good.
attractions,clear
attractions,How clear images were
attractions,it was clear
attractions,clear view
attractions,neat
attractions,Clean street scenes
attractions,Looked clean
attractions,The scenery is clean and attractive
attractions,clean
attractions,It was very clean
attractions,clean
attractions,how clean it is
attractions,Very clean
attractions,I think the aesthetic is neat
attractions,everything was clean
attractions,Neat
attractions,Clean
attractions,Clean
attractions,clean
attractions,I enjoyed seeing the waterline
attractions,"I am really enjoying exploring on this interface, more than google maps or street view"
attractions,Enjoyable
attractions,enjoy from anywhere
attractions,I enjoyed seeing the city of dubai
attractions,Enjoyable
attractions,Exotic
attractions,Exotic
attractions,unique
attractions,unique
attractions,Time went by quickly while using the tool
attractions,It's easy to lose track of time because the video is so fun.
attractions,a sense of warmth came over me as I pictured me and my family and friends visiting.
attractions,not frenetic
attractions,Videogame-like
attractions,It was like a sweet dream.
attractions,Seems quiet
attractions,I liked the atmosphere.
attractions,it could provide entertainment for people who don’t want to travel but would like to see various places across the world
attractions,City looked nice
attractions,fancy shopping center
attractions,The beach looks fun to visit
attractions,Zooming into destinations was fun
attractions,This is fun to use.
attractions,It was simple and and fun to use.
attractions,It's fun to imagine other places but this is far better.
attractions,A moment of enjoyable fear came over looking at the 360 views but left me wanting more.
attractions,navigation was fun
attractions,fun
attractions,Had fun a lot
attractions,It seems like a fun place to celebrate success in life
attractions,Fun to fly around
attractions,Fun
attractions,It was fun to play around with
attractions,It looks like alot of fun just from the VR
attractions,fun
attractions,it was fun
attractions,It was fun
attractions,Fun
attractions,"The ""tour mode"" is nice and relaxing."
attractions,relaxing
attractions,"Calming, serene experience"
attractions,This entire experience is relaxing!
attractions,Relaxing atmosphere
attractions,Relaxing
attractions,This is a very relaxing experience
attractions,"It can help to boost mental health, as it can be used for relaxation and mindfulness."
attractions,It's a very calming experience.
attractions,this makes me feel more at ease regarding my anxiety of visiting unknown places
attractions,Everything seemed calm and peaceful
attractions,It also allows more comfort when visiting certain places.
attractions,It was relaxing
attractions,Not loud or obnoxious
attractions,It was relaxing
attractions,very relaxing
attractions,the palms were relaxing to look at
attractions,This is so intriguing!
attractions,amusing
attractions,Adventurous
attractions,Adventurous
attractions,Adventurous
attractions,The quality of the realism of the images is impressive.
attractions,"The graphic visuals are impressive ""lifelike"""
attractions,This is amazing!
attractions,Great experience watching those juys jump off the tower.
attractions,amazing experience
attractions,impressive
attractions,Amazing
attractions,That was amazing. Wow.
attractions,The VR tech is amazing
attractions,Amazing
attractions,amazing
attractions,I would like to learn more
attractions,I would try it again
attractions,curious
attractions,looking at all the places to visit peeked my interest.
attractions,It did make me want to check out the spaces
attractions,Very inviting
attractions,I would like to explore more
attractions,I wish I could explore more
attractions,Really neat and I want to look at it more
attractions,The VR made it feel like I could learn much more about the culture of the city.
attractions,I want to see more of the city and the other areas around the city
attractions,Inviting
attractions,cool way to see country
attractions,Wow!
attractions,Cool
attractions,cool
attractions,this is really cool
attractions,Cool tech
attractions,WOW!
attractions,Pretty cool to show things so clear
attractions,It was cool to see the city of Dubai
attractions,seeing ground level was cool
attractions,Cool that this is available to use
attractions,It was cool to see a place I might never visit.
attractions,This is a really cool tour
attractions,VR brings cool opportunities to people
attractions,It's cool
attractions,Wow
attractions,it looks very cool
attractions,It was really cool to feel like I could explore
attractions,It’s cool to see where you can’t be
attractions,Cool
attractions,innovative
attractions,Innovation
attractions,Innovative
attractions,Innovation
attractions,innovative
attractions,innovative
attractions,Much better than just a photo
attractions,Its a good way to tour Dubai
attractions,Explore far away places
attractions,A great way to get a feel for the city
attractions,Gratitude for the chance to at least visit virtually
attractions,Good chance to see the city
attractions,Great way to visit without going there
attractions,Currently this is a great advantage that tourists have to visualize certain destinations in the world.
attractions,Accessible for people with disability or the inability to travel
attractions,this is the future of viewing places to visit.
attractions,I'd never get to experience Dubai without going there in person without it
attractions,Seems more advanced than people might think
attractions,It allows people to experience new places and events from the safety and comfort of their own homes.
attractions,It can be a great way to explore art and culture without having to travel.
attractions,I just love how far we have come to be able to explore a city that most people will never afford to visit.
attractions,It was exciting
attractions,Travel without leaving Home
attractions,Exciting
attractions,Much better then photos alone
attractions,Exciting
attractions,It is a way of knowing places without having physically visited them.
attractions,So real and makes me feel like I am there
attractions,It really feels like I am almost there.
attractions,Realistic
attractions,It almost felt like physically being there
attractions,it seemed real
attractions,gives a good feel for the physical space
attractions,Life-like
attractions,the layout seems to be to scale and exactly the same layout as the city of Dubai.
attractions,realistic viewpoints
attractions,realist feel
attractions,it felt so real
attractions,Realistic
attractions,seeing thing as if you are there
attractions,It is like an in person google maps
attractions,It felt like I was there since there were not people in the pictures like most online videos.
attractions,It was easy to imagine yourself there
attractions,close to reality
attractions,It is like a real visit.
attractions,gives a feel for what it is like to be there
attractions,Very realistic
attractions,The VR is very life like
attractions,"the water was inviting, I could see myself on the beach"
attractions,It’s realistic
attractions,It looks exactly how it would in person
attractions,it made me feel like i was riding a dirt bike in the desert
attractions,Realistic
attractions,It allowed me a realistic tour
attractions,Felt immersed
attractions,It is easy to feel immersed in this experience.
attractions,It felt really immerse when I was exploring
attractions,I felt like it wasn't virtual.
attractions,I was very caught up in what I was seeing
attractions,it felt like I am traveling in reality - wow
attractions,it felt like i was actually there
attractions,This looks like I am there right now.
attractions,You could imagine being in the spaces.
attractions,as if you are on the ground there
attractions,Excellent immersion
attractions,Felt like I was actually standing in the street
attractions,I really felt like I was there
attractions,I felt immersed in the images
attractions,I felt like I was there.
attractions,It is very detailed and interactive so it feels like you could be in the place itself (e.g. a hotel room)
attractions,I felt like I was visiting the museum
attractions,It felt like I was there touring the city.
attractions,it feels like I am there looking around
attractions,Feels like you’re really there
attractions,Slow to be immersed
attractions,Felt like I was there
attractions,It feels like turning your head to look around because of the way the footage is shot
attractions,It helps you to feel like you're actually present at the location
attractions,It gave me a feeling of being there.
attractions,Made it feel as it you was there
attractions,It made me feel present
attractions,I felt as if I was really inside the shopping malls and hotel lobbies.
attractions,It felt like I was in Dubai
attractions,Excellent quality - sense of being there.
attractions,It feels like I am really there
attractions,It makes you feel like your actually there.
attractions,It's really cool to feel like I'm actually there.
attractions,It feels like you are there.
attractions,it makes you feel like you are actually there
attractions,I can feel like your actually there
attractions,not crowded
attractions,People enjoying themselves
attractions,Nice scenery
attractions,So many majestic hotel options
attractions,architecture is amazing.
attractions,That island design.  I can't believe this is all man made
attractions,the weather looks amazing
attractions,Seemingly no traffic
attractions,There was barely any traffic
attractions,Perfect weather
attractions,There is a lot of water moving
attractions,I really like the beaches
attractions,the walkway around the beaches
attractions,It showed some of the cultural places that are available to visit.
attractions,the amount of attractions is large
attractions,Surrounded by vast waterways
attractions,Land layout is unique
attractions,Water looks nice
attractions,The weather seemed perfect
attractions,How I would enjoy a boat ride around the islands.
attractions,How nice the air would smell
attractions,Love the scenery and locations
attractions,Nice beach
attractions,I liked seeing the Chihuly glass exhibit
attractions,"Despite the desert locale, the city felt cold/stark."
attractions,The city looks like a Marvel movie
attractions,it would be cool to visit here one day
attractions,Nice living pace
attractions,It looked so pretty at night time.
attractions,"That hotel, Atlantis, is amazing."
attractions,The skyline is wild.
attractions,Concrete jungle feel when outside
attractions,The culture looks nice when inside
attractions,It had some striking images of the architecture in a mall
attractions,That looks like an unusually clean city.
attractions,"Dubai has a lot to do, based on this tour!"
attractions,I like the scenery
attractions,The city looked modern
attractions,"It contains many popular landmarks and hotels that would be of interest to tourists (e.g. beaches, hotels)"
attractions,Great views of the water
attractions,i can't believe there's an art gallery
attractions,the sun is out and looks warm
attractions,"whoa, the city looks so vast and large"
attractions,The grandiose-ness of the city
attractions,The hotels were easily recognizable.
attractions,There were many historical and cultural places that I could visit.
attractions,The weather looked nice
attractions,There are many places that look fun to visit
attractions,everything was large scale
attractions,the vistas were grand
attractions,I can't believe its mostly man made
attractions,it looks more westernized than I thought
attractions,the architecture is fantastic
attractions,the mall is huge
attractions,Awesome landscape
attractions,Tourist town with many things to see
attractions,Intigued by first scene
attractions,Wanting to visit the museum
attractions,Nice places to view
attractions,Gorgeous scenery
attractions,a lot of art work and culture
attractions,doesn't look too crowded
attractions,Gorgeous architecture
attractions,Advanced city
attractions,Upscale living
attractions,The views over water were stunning
attractions,Visit unique places and not just sceneries
attractions,The scenes were pretty
attractions,hotels looked like museums
attractions,It made me want to go to Dubai even more
attractions,none
attractions,none
attractions,none
attractions,none
attractions,"thats it I only had 1 positive thought, the first one it was clunk and poorly done worse than google maps"
attractions,it appears to be expensive
attractions,looks very expensive
attractions,"the aerial view is easier to see everything, but doesn’t make me feel like im actually there"
attractions,looks expensive
attractions,the video time lapse from the Burj Khalifa was low quality and had annoying audio
attractions,some of the videos were laggy
attractions,I wish I was able to view it full screen
attractions,It was a little stark
attractions,boring
attractions,slow
attractions,uninteresting
attractions,Its empty where are the people
attractions,where are the markets
attractions,Expensive
attractions,the icons were sometimes crowded
attractions,I wish there was more attractions to look up.
attractions,Boring
attractions,I couldn't go full screen.
attractions,If there was sound I didn't hear any.
attractions,In at least one of the videos it gave sound of the person enjoying the experience.
attractions,"Control was counterintuitive to where I was trying to go, though once I figured it out it was consistent."
attractions,The aerial views could be stunning if aligned properly
attractions,Why was the video so tiny?
attractions,"I didn't get a real experience, viewing on my laptop as opposed to actually viewing in VR."
attractions,I imagine this was a lousy video and that there are many better ones so won't judge on this one.
attractions,can't use the pin point to see what's in it
attractions,its too far away
attractions,It seems it would be hot
attractions,The streets look very barren
attractions,I wish I had more interaction
attractions,So long ago we couldn't do any of these things
attractions,Maybe if it were magnified it would be more impressive.
attractions,Not the same as being there.
attractions,everything looked almost empty
attractions,I clicked the bubbles of areas but nothing happened
attractions,Confused by second screen
attractions,"There weren't as many shop, restaurant locations as I was expecting"
attractions,It does the opposite of what you tell it to
attractions,It doesn't show you how hot it is there
attractions,The controls are terrible
attractions,Controls are difficult
attractions,I think the images couldve been color graded more
